zipcode,returns,income,mean_income
27919,470,21970000,46744.68085
27253,13420,627219000,46737.6304
28147,10720,500732000,46710.07463
27828,3620,169014000,46688.95028
27007,900,41999000,46665.55556
27909,16830,785150000,46651.81224
28348,15110,704020000,46592.98478
28756,1690,78654000,46540.8284
28429,3600,167463000,46517.5
28904,3470,161118000,46431.70029
27935,610,28312000,46413.11475
27926,690,3.20E+07,46376.81159
27317,7320,339477000,46376.63934
27865,760,35241000,46369.73684
28779,6380,295689000,46346.23824
27524,5150,238383000,46287.96117
28694,3420,157971000,46190.35088
27042,300,13841000,46136.66667
28659,8170,376764000,46115.54468
28349,1460,67240000,46054.79452
27016,690,31714000,45962.31884
27025,4700,215807000,45916.38298
28167,930,42673000,45884.94624
27889,11880,544507000,45833.92256
27350,2690,123146000,45779.18216
28754,3230,147845000,45772.44582
27013,2760,126277000,45752.53623
28334,9700,443510000,45722.68041
27980,900,41118000,45686.66667
28001,10720,489591000,45670.80224
28654,1550,70669000,45592.90323
27030,15210,692595000,45535.50296
28366,2110,95963000,45480.09479
28524,160,7267000,45418.75
27127,17240,782888000,45411.13689
28621,4000,181596000,45399
28054,16730,759127000,45375.19426
27809,2130,96588000,45346.47887
28520,110,4986000,45327.27273
28902,600,27175000,45291.66667
27507,740,33489000,45255.40541
28323,1660,75094000,45237.3494
27542,3960,179062000,45217.67677
27966,540,24416000,45214.81481
27320,16190,730811000,45139.65411
27876,490,22101000,45104.08163
28650,5590,251829000,45049.91055
27937,1560,70267000,45042.94872
28086,11380,512540000,45038.66432
27569,3410,153576000,45036.95015
28627,480,21617000,45035.41667
28092,15760,708297000,44942.70305
28655,20880,938386000,44941.85824
28602,12350,554502000,44898.94737
27326,1550,69593000,44898.70968
28766,710,31876000,44895.77465
28709,940,42199000,44892.55319
27846,1260,56563000,44891.26984
28470,4130,185364000,44882.32446
28457,4430,198523000,44813.31828
27371,2990,133985000,44811.03679
27052,4420,197899000,44773.52941
28315,5550,248402000,44757.11712
28447,500,22374000,44748
27051,3580,160182000,44743.57542
28610,4440,198651000,44741.21622
28539,6730,300997000,44724.66568
28168,4240,189461000,44684.19811
27549,9210,410920000,44616.72096
28690,3900,173784000,44560
27505,2910,129533000,44513.05842
27530,15560,692183000,44484.76864
28540,20280,901030000,44429.48718
27022,590,26213000,44428.81356
28651,2670,118500000,44382.02247
27107,20690,916613000,44302.2233
28523,1150,50941000,44296.52174
28716,7600,335174000,44101.84211
28088,1440,63503000,44099.30556
28753,4580,201840000,44069.869
27017,3620,159261000,43994.75138
28748,5350,235145000,43952.33645
28318,1990,87399000,43919.09548
28438,580,25461000,43898.27586
28618,1030,45198000,43881.5534
28018,2110,92561000,43867.77251
28430,710,31097000,43798.59155
28644,620,27111000,43727.41935
28677,14740,644508000,43725.10176
27020,2610,114091000,43713.02682
28444,890,38904000,43712.35955
28547,2840,124001000,43662.32394
28752,12240,534039000,43630.63725
27852,1140,49707000,43602.63158
28337,3930,171166000,43553.68957
27812,1000,43550000,43550
28665,1040,45272000,43530.76923
28529,870,37860000,43517.24138
28678,2100,91369000,43509.04762
28216,25490,1106549000,43411.10239
28034,7620,330762000,43407.08661
27409,8690,376959000,43378.48101
27292,15890,688881000,43353.11517
27360,19690,853451000,43344.38801
27521,2520,109118000,43300.79365
27939,1210,52391000,43298.34711
28532,9650,417818000,43297.20207
